Date,Time,Activity_Type,Avg_HR,Max_HR,Total_Calories,Metabolic_Calories,Estimated_Sweat_Loss_ml,Duration,Distance_m,Training_Effect,Anaerobic_TE,Training_Load,Avg_Temp_C,Max_Temp_C,Avg_Respiration,Avg_Power,Normalized_Power,Total_Ascent_m,Notes
2023-01-03,07:17,Track Run,138,145,210,24,239,21:44,4120,2.4,0.0,51.4,,,37.6,212,213,19,
2023-01-03,12:54,Track Run,164,179,373,37,420,32:48,7200,3.6,0.0,143.1,20,22,34.8,243,246,19,
2023-01-04,13:18,Run,162,171,1241,126,1419,1:51:56,23585,5.0,0.0,310.5,21,25,33.9,231,234,86,
2023-01-05,07:30,Track Run,128,137,207,25,234,22:22,4000,2.2,0.0,41.5,17,20,42.9,199,200,19,
2023-01-05,12:58,Run,146,156,442,50,546,43:38,8424,3.2,0.8,114.0,23,24,29.6,209,210,34,
2023-01-06,07:19,Track Run,142,166,178,19,196,16:47,3310,2.6,0.0,59.1,,,,222,224,19,
2023-01-06,12:48,Run,124,136,342,47,449,41:46,6499,2.2,0.0,39.1,25,27,35.6,179,181,36,
2023-01-07,11:08,Run,144,154,423,49,490,43:19,8011,3.0,0.1,85.6,21,24,34.9,198,201,44,
2023-01-09,06:36,Pool Swim,147,157,222,27,,26:06,1000,2.7,0.1,69.4,27,28,,,,,
2023-01-09,12:51,Run,147,173,435,75,579,42:11,8800,3.4,0.7,134.8,22,24,32.2,229,235,46,
2023-01-10,07:17,Track Run,137,149,256,30,286,25:59,5000,2.6,0.0,63.7,18,21,36.0,210,211,0,
2023-01-10,12:59,Run,148,159,355,38,408,33:38,7003,3.2,0.0,100.8,18,23,29.3,229,231,36,
2023-01-11,13:14,Run,156,170,902,96,983,1:24:22,16045,4.3,0.0,215.4,20,23,32.8,221,232,350,
2023-01-12,07:32,Run,132,142,178,21,198,18:38,3452,2.2,0.0,41.7,19,22,41.9,202,204,17,
2023-01-12,13:00,Run,146,155,357,39,404,34:39,7010,3.0,0.0,88.6,19,23,31.1,221,222,31,
2023-01-13,12:48,Run,140,153,355,43,429,38:05,6408,2.7,0.0,64.4,22,23,30.5,188,190,25,
2023-01-16,07:24,Track Run,139,170,175,20,197,17:39,4000,2.6,0.0,62.8,12,18,30.0,245,249,0,
2023-01-16,13:00,Run,162,173,471,47,433,40:58,8759,3.9,0.0,173.9,13,21,32.1,232,235,49,
2023-01-17,07:24,Track Run,144,161,161,18,138,15:30,3210,2.4,0.0,48.3,11,18,36.6,222,230,0,
2023-01-17,12:49,Run,154,163,474,50,467,44:14,9600,3.6,0.0,143.2,14,20,27.7,232,235,43,
2023-01-18,13:26,Run,162,173,1122,114,1223,1:41:58,22002,5.0,0.3,323.3,19,24,32.8,230,233,52,
2023-01-19,12:47,Run,147,163,346,44,407,38:38,6022,2.5,0.0,57.5,21,25,,191,193,28,
2023-01-20,07:33,Track Run,148,165,175,19,189,16:38,3620,2.6,0.0,61.0,16,20,32.1,235,244,0,
2023-01-20,13:00,Run,152,166,502,53,573,47:01,10079,3.6,0.0,146.8,20,22,28.8,228,231,47,
2023-01-26,13:17,Run,162,178,907,97,993,1:25:47,16157,4.5,0.0,241.4,20,23,33.5,214,224,360,
2023-01-27,07:50,Run,146,157,225,25,235,21:46,4612,2.8,0.0,70.7,16,21,31.2,228,231,19,
2023-01-27,13:07,Track Run,164,176,511,52,584,48:23,10010,3.8,0.4,176.5,18,20,34.9,243,255,0,
2023-01-28,16:42,Run,153,167,453,49,481,43:08,8225,3.4,0.0,126.4,16,19,34.2,214,225,204,
2023-01-29,13:13,Run,142,159,369,43,422,38:58,7012,3.0,0.0,89.1,20,23,29.1,202,204,21,
2023-01-30,07:26,Run,145,154,223,25,197,21:49,4542,2.7,0.0,67.0,9,19,30.0,229,231,14,
