date,weightkg,fatkg,boneskg,musclekg,leankg,fatpercent,comment
2022-12-30T05:45:00+08:00,50.75,0,0,0,0,0,Manual
2022-12-29T05:45:00+08:00,51.7,0,0,0,0,0,Manual
2022-12-28T05:45:00+08:00,52,0,0,0,0,0,Manual
2022-12-27T05:45:00+08:00,51.8,0,0,0,0,0,Manual
2022-12-26T05:45:00+08:00,51.05,0,0,0,0,0,Manual
2022-12-25T05:45:00+08:00,51.05,0,0,0,0,0,Manual
2022-12-24T05:45:00+08:00,51.05,0,0,0,0,0,Manual
2022-12-23T05:45:00+08:00,51.15,0,0,0,0,0,Manual
2022-12-22T05:45:00+08:00,51.15,0,0,0,0,0,Manual
2022-12-21T05:45:00+08:00,51.3,0,0,0,0,0,Manual from Garmin
2022-12-19T05:45:00+08:00,51.5,0,0,0,0,0,Manual from Garmin
2022-12-16T05:45:00+08:00,51.8,0,0,0,0,0,Manual from Garmin
2022-12-15T05:45:00+08:00,51.3,0,0,0,0,0,Manual from Garmin
2022-12-14T05:45:00+08:00,51.5,0,0,0,0,0,Manual from Garmin
2022-12-13T05:45:00+08:00,51.6,0,0,0,0,0,Manual from Garmin
2022-12-12T05:45:00+08:00,51.4,0,0,0,0,0,Manual from Garmin
2022-12-09T05:45:00+08:00,51.2,0,0,0,0,0,Manual from Garmin
2022-12-08T05:45:00+08:00,50.9,0,0,0,0,0,Manual from Garmin
2022-12-07T05:45:00+08:00,51,0,0,0,0,0,Manual from Garmin
2022-12-06T05:45:00+08:00,51.4,0,0,0,0,0,Manual from Garmin
2022-12-05T05:45:00+08:00,51.4,0,0,0,0,0,Manual from Garmin
2022-12-03T05:45:00+08:00,51.4,0,0,0,0,0,Manual from Garmin
2022-12-02T05:45:00+08:00,51.5,0,0,0,0,0,Manual from Garmin
2022-12-01T05:45:00+08:00,51.4,0,0,0,0,0,Manual from Garmin
2022-11-30T05:45:00+08:00,50.8,0,0,0,0,0,Manual from Garmin
2022-11-29T05:45:00+08:00,50.7,0,0,0,0,0,Manual from Garmin
2022-11-28T05:45:00+08:00,51.2,0,0,0,0,0,Manual from Garmin
2022-11-25T05:45:00+08:00,51.3,0,0,0,0,0,Manual from Garmin
2022-11-24T05:45:00+08:00,51.3,0,0,0,0,0,Manual from Garmin
2022-11-23T05:45:00+08:00,51.2,0,0,0,0,0,Manual from Garmin
2022-11-22T05:45:00+08:00,51.3,0,0,0,0,0,Manual from Garmin
2022-11-21T05:45:00+08:00,51.5,0,0,0,0,0,Manual from Garmin
2022-11-18T05:45:00+08:00,51.1,0,0,0,0,0,Manual from Garmin
2022-11-17T05:45:00+08:00,51.6,0,0,0,0,0,Manual from Garmin
2022-11-16T05:45:00+08:00,51.5,0,0,0,0,0,Manual from Garmin
2022-11-14T05:45:00+08:00,51.8,0,0,0,0,0,Manual from Garmin
2022-11-11T05:45:00+08:00,51.3,0,0,0,0,0,Manual from Garmin
2022-11-10T05:45:00+08:00,51.6,0,0,0,0,0,Manual from Garmin
2022-11-08T05:45:00+08:00,51.5,0,0,0,0,0,Manual from Garmin
2022-11-07T05:45:00+08:00,51.2,0,0,0,0,0,Manual from Garmin
2022-11-05T05:45:00+08:00,51.5,0,0,0,0,0,Manual from Garmin
2022-11-04T05:45:00+08:00,51.5,0,0,0,0,0,Manual from Garmin
2022-11-03T05:45:00+08:00,51.8,0,0,0,0,0,Manual from Garmin
2022-11-02T05:45:00+08:00,51.3,0,0,0,0,0,Manual from Garmin
2022-11-01T05:45:00+08:00,51.4,0,0,0,0,0,Manual from Garmin
2022-10-31T05:45:00+08:00,51.9,0,0,0,0,0,Manual from Garmin
2022-10-28T05:45:00+08:00,51.5,0,0,0,0,0,Manual from Garmin
2022-10-27T05:45:00+08:00,51.5,0,0,0,0,0,Manual from Garmin
2022-10-26T05:45:00+08:00,51.7,0,0,0,0,0,Manual from Garmin
2022-10-25T05:45:00+08:00,52,0,0,0,0,0,Manual from Garmin
2022-10-24T05:45:00+08:00,52.4,0,0,0,0,0,Manual from Garmin
2022-10-21T05:45:00+08:00,51.8,0,0,0,0,0,Manual from Garmin
2022-10-20T05:45:00+08:00,52,0,0,0,0,0,Manual from Garmin
2022-10-19T05:45:00+08:00,52.1,0,0,0,0,0,Manual from Garmin
2022-10-18T05:45:00+08:00,52,0,0,0,0,0,Manual from Garmin
2022-10-17T05:45:00+08:00,52.6,0,0,0,0,0,Manual from Garmin
2022-10-16T05:45:00+08:00,52,0,0,0,0,0,Manual from Garmin
