date,weightkg,fatkg,boneskg,musclekg,leankg,fatpercent,comment
2026-09-04T05:40:00+08:00,53.15,0,0,0,0,0,Manual
2026-09-03T05:40:00+08:00,53.40,0,0,0,0,0,Manual
2026-09-02T05:50:00+08:00,53.55,0,0,0,0,0,Manual
2026-09-01T05:40:00+08:00,53.35,0,0,0,0,0,Manual
2026-08-31T05:40:00+08:00,53.65,0,0,0,0,0,Manual
2026-08-30T10:00:00+08:00,53.35,0,0,0,0,0,Manual
2026-08-29T09:20:00+08:00,53.75,0,0,0,0,0,Manual
2026-08-27T05:40:00+08:00,54.85,0,0,0,0,0,Manual
2026-08-26T05:40:00+08:00,55.10,0,0,0,0,0,Manual
2026-08-25T05:50:00+08:00,55.30,0,0,0,0,0,Manual
2026-08-24T05:40:00+08:00,55.60,0,0,0,0,0,Manual
2026-08-22T08:00:00+08:00,54.30,0,0,0,0,0,Manual
2026-08-21T06:00:00+08:00,54.90,0,0,0,0,0,Manual
2026-08-20T05:40:00+08:00,54.90,0,0,0,0,0,Manual
2026-08-19T05:40:00+08:00,54.80,0,0,0,0,0,Manual
2026-08-18T05:40:00+08:00,54.80,0,0,0,0,0,Manual
2026-08-17T05:40:00+08:00,55.00,0,0,0,0,0,Manual
2026-08-13T06:10:00+08:00,54.60,0,0,0,0,0,Manual
2026-08-12T05:50:00+08:00,54.80,0,0,0,0,0,Manual
2026-08-11T06:10:00+08:00,54.75,0,0,0,0,0,Manual
2026-08-10T05:45:00+08:00,54.75,0,0,0,0,0,Manual
2026-08-09T05:50:00+08:00,54.30,0,0,0,0,0,Manual
2026-08-07T05:50:00+08:00,53.90,0,0,0,0,0,Manual
2026-08-06T05:50:00+08:00,53.95,0,0,0,0,0,Manual
2026-08-05T05:50:00+08:00,54.05,0,0,0,0,0,Manual
2026-08-03T05:45:00+08:00,54.30,0,0,0,0,0,Manual
2026-08-01T08:20:00+08:00,54.30,0,0,0,0,0,Manual
2026-07-31T05:45:00+08:00,54.35,0,0,0,0,0,Manual
2026-07-30T05:45:00+08:00,54.85,0,0,0,0,0,Manual
2026-07-29T05:50:00+08:00,54.75,0,0,0,0,0,Manual
2026-07-28T05:50:00+08:00,55.00,0,0,0,0,0,Manual
2026-07-10T06:00:00+08:00,54.75,0,0,0,0,0,Manual
2026-07-06T06:00:00+08:00,55.20,0,0,0,0,0,Manual
2026-07-06T06:00:00+08:00,54.65,0,0,0,0,0,Manual
2026-07-06T05:00:00+08:00,55.55,0,0,0,0,0,Manual
2026-07-05T09:13:00+08:00,54.30,0,0,0,0,0,Manual
2026-07-03T05:40:00+08:00,54.60,0,0,0,0,0,Manual
2026-07-02T05:45:00+08:00,54.45,0,0,0,0,0,Manual
2026-07-01T09:15:00+08:00,54.45,0,0,0,0,0,Manual
2026-06-30T05:55:00+08:00,55.30,0,0,0,0,0,Manual
2026-06-29T05:45:00+08:00,55.60,0,0,0,0,0,Manual
2026-06-28T09:35:00+08:00,54.80,0,0,0,0,0,Manual
2026-06-26T05:45:00+08:00,54.40,0,0,0,0,0,Manual
2026-06-25T05:40:00+08:00,54.40,0,0,0,0,0,Manual
2026-06-24T05:45:00+08:00,54.70,0,0,0,0,0,Manual
2026-06-23T05:45:00+08:00,54.90,0,0,0,0,0,Manual
2026-06-22T05:40:00+08:00,55.45,0,0,0,0,0,Manual
2026-06-18T08:30:00+08:00,55.45,0,0,0,0,0,Manual
2026-06-17T05:45:00+08:00,54.80,0,0,0,0,0,Manual
2026-06-16T05:45:00+08:00,54.55,0,0,0,0,0,Manual
2026-06-15T05:45:00+08:00,54.75,0,0,0,0,0,Manual
2026-06-14T09:30:00+08:00,54.65,0,0,0,0,0,Manual
2026-06-13T08:40:00+08:00,54.75,0,0,0,0,0,Manual
2026-06-12T05:40:00+08:00,55.00,0,0,0,0,0,Manual
2026-06-11T05:35:00+08:00,54.80,0,0,0,0,0,Manual
2026-06-10T05:40:00+08:00,55.45,0,0,0,0,0,Manual
2026-06-09T05:40:00+08:00,55.50,0,0,0,0,0,Manual
2026-06-08T05:50:00+08:00,55.10,0,0,0,0,0,Manual
2026-06-06T06:10:00+08:00,54.70,0,0,0,0,0,Manual
2026-06-05T05:45:00+08:00,54.85,0,0,0,0,0,Manual
2026-06-04T05:45:00+08:00,54.65,0,0,0,0,0,Manual
2026-06-03T05:45:00+08:00,55.00,0,0,0,0,0,Manual
2026-06-02T05:45:00+08:00,55.20,0,0,0,0,0,Manual
2026-06-01T05:45:00+08:00,54.90,0,0,0,0,0,Manual
2026-05-31T09:30:00+08:00,54.55,0,0,0,0,0,Manual
2026-05-29T05:45:00+08:00,55.05,0,0,0,0,0,Manual
2026-05-28T05:55:00+08:00,54.85,0,0,0,0,0,Manual
2026-05-27T05:45:00+08:00,55.05,0,0,0,0,0,Manual
2026-05-26T05:40:00+08:00,55.05,0,0,0,0,0,Manual
2026-05-22T05:40:00+08:00,54.50,0,0,0,0,0,Manual
2026-05-21T05:40:00+08:00,54.60,0,0,0,0,0,Manual
2026-05-20T05:40:00+08:00,54.40,0,0,0,0,0,Manual
2026-05-19T05:40:00+08:00,54.65,0,0,0,0,0,Manual
2026-05-18T05:40:00+08:00,54.85,0,0,0,0,0,Manual
2026-05-14T05:45:00+08:00,54.5,0,0,0,0,0,Manual
2026-05-13T05:40:00+08:00,54.15,0,0,0,0,0,Manual
2026-05-12T05:45:00+08:00,54.30,0,0,0,0,0,Manual
2026-05-11T05:45:00+08:00,54.50,0,0,0,0,0,Manual
2026-05-08T05:45:00+08:00,54.80,0,0,0,0,0,Manual
2026-05-07T05:40:00+08:00,54.65,0,0,0,0,0,Manual
2026-05-06T05:40:00+08:00,55.00,0,0,0,0,0,Manual
2026-05-05T05:45:00+08:00,55.00,0,0,0,0,0,Manual
2026-05-04T05:50:00+08:00,55.30,0,0,0,0,0,Manual
2026-05-02T09:36:00+08:00,54.85,0,0,0,0,0,Manual
2026-05-01T09:17:00+08:00,54.75,0,0,0,0,0,Manual
2026-04-30T06:00:00+08:00,55.35,0,0,0,0,0,Manual
2026-04-29T06:00:00+08:00,54.95,0,0,0,0,0,Manual
2026-04-28T05:50:00+08:00,55.05,0,0,0,0,0,Manual
2026-04-27T05:20:00+08:00,54.95,0,0,0,0,0,Manual
2026-04-26T09:30:00+08:00,54.75,0,0,0,0,0,Manual
2026-04-24T05:20:00+08:00,54.75,0,0,0,0,0,Manual
2026-04-23T05:40:00+08:00,55.00,0,0,0,0,0,Manual
2026-04-22T05:50:00+08:00,55.30,0,0,0,0,0,Manual
2026-04-21T05:50:00+08:00,55.20,0,0,0,0,0,Manual
2026-04-20T05:50:00+08:00,55.20,0,0,0,0,0,Manual
2026-04-18T08:13:00+08:00,54.60,0,0,0,0,0,Manual
2026-04-17T06:10:00+08:00,55.10,0,0,0,0,0,Manual
2026-04-16T05:50:00+08:00,54.75,0,0,0,0,0,Manual
2026-04-15T06:02:00+08:00,54.75,0,0,0,0,0,Manual
2026-04-15T04:50:00+08:00,55.35,0,0,0,0,0,Manual
2026-04-14T05:50:00+08:00,55.45,0,0,0,0,0,Manual
2026-04-13T05:50:00+08:00,55.80,0,0,0,0,0,Manual
2026-04-10T07:00:00+08:00,55.00,0,0,0,0,0,Manual
2026-04-08T05:50:00+08:00,55.75,0,0,0,0,0,Manual
2026-04-03T05:50:00+08:00,54.75,0,0,0,0,0,Manual
2026-04-02T05:50:00+08:00,55.20,0,0,0,0,0,Manual
2026-04-01T06:00:00+08:00,55.30,0,0,0,0,0,Manual
2026-03-31T06:00:00+08:00,55.15,0,0,0,0,0,Manual
2026-03-30T06:10:00+08:00,54.45,0,0,0,0,0,Manual
2026-03-29T09:50:00+08:00,54.45,0,0,0,0,0,Manual
2026-03-28T08:30:00+08:00,55.20,0,0,0,0,0,Manual
2026-03-27T06:10:00+08:00,55.10,0,0,0,0,0,Manual
2026-03-26T06:10:00+08:00,54.80,0,0,0,0,0,Manual
2026-03-25T05:50:00+08:00,54.80,0,0,0,0,0,Manual
